File Name,Type,Creator,Comments,Category,Extension,Dup,"Data by Ilan Szekely, Jerusalem"
-1,KMAP,UDIF,KmapDemo,  , , ,
0,save,smEB,boogaloopers,Game, , ,
0.5,APPL,USa7, ,Application, , ,
1,MV^^,∑ALΩ,Kung-Fu Chivalry,  , , ,
1,demo,Duke,Duke Nukem 3D,  , , ,
1,SuLS,FbLS,LiSa,  , , ,
1,FRGF,FRGM,The Beauty of Fractals Lab,  , , ,
1,I$Rt,I$Rc,ScreenRecorder™,  , , ,
1,GNSG,IRON,Gauntlet,  , , ,
1,MPsl,MPED,ActionLine Editor,  , , ,
1,PICT,MWRL,MicroWorld,Graphics PICT,PIC, ,
1,wGme,shWR, ,  , , ,
1,CRCT,TRBL,Troubleshooter,  , , ,
2,SAVE,PRNc,Prince 2 ,  , , ,
9,E3SV,EX3!,Exile III,Game, , ,
10,AIFF,GDSP,Astound,Sound AIFF,AIF, ,
12,DDD ,BGEM, ,  , , ,
24,LodS,Lode,Lode Runner Online,  , , ,
60,BNTR,****,Unspecified Creator,???, , ,
911,INIT,N911,AKUA Interactive Media AG,INIT,, ,
1863,APPL,CHAN, ,Application, , ,
11025,SdFt,Sd2a,Sound Designer II™,  , , ,
Apr-97,WEBC,WBca,Web Calendar,  , , ,
2-Jan,DIPT,PTBO,PT Boat Simulator,  , , ,
12-Jul,CRYP,JRM!,CryptoSolve,  , , ,
5-Dec,FIBR,FIBR,Fire-Brigade,  , , ,
 ,ator, Gui, ,  , , ,
 ,adev,****,Unspecified Creator,Appletalk extension, , ,
 ,adrp,****,Unspecified Creator,Alias to file, , ,
 ,AIFC,****,Unspecified Creator,Sound AIFF-C, , ,
 ,AIFF,****,Unspecified Creator,Sound AIFF,AIF, ,
 ,appe,****,Unspecified Creator,Background Only Application, , ,
 ,cbnd,****,Unspecified Creator,Connection Tool, , ,
 ,cdev,****,Unspecified Creator,Control Panel, , ,
 ,claF,****,Unspecified Creator,Claris Fonts, , ,
 ,dbgr,****,Unspecified Creator,MacsBug, , ,
 ,ddev,****,Unspecified Creator,DAL, , ,
 ,dfil,****,Unspecified Creator,System 7 desk accessory, , ,
 ,DRWG,****,Unspecified Creator,MacDraw II document, , ,
 ,EPSF,****,Unspecified Creator,EPS,EPS, ,
 ,fbnd,****,Unspecified Creator,Communication Tool, , ,
 ,fdrp,****,Unspecified Creator,Alias to folder, , ,
 ,fext,****,Unspecified Creator,Extension, , ,
 ,ffil,****,Unspecified Creator,System 7 font, , ,
 ,GIFf,****,Unspecified Creator,Graphics GIF,GIF, ,
 ,help,****,Unspecified Creator,Help, , ,
 ,JFIF,****,Unspecified Creator,Graphics JFIF/JPEG,JPG, ,
 ,JPEG,****,Unspecified Creator,Graphics JPEG,JPG, ,
 ,LWFN,****,Unspecified Creator,PostScript font,PFB, ,
 ,MooV,****,Unspecified Creator,QuickTime Movie,MOV, ,
 ,MW2D,****,Unspecified Creator,MacWrite II document, , ,
 ,MW2S,****,Unspecified Creator,MacWrite II stationary, , ,
 ,MWPd,****,Unspecified Creator,MacWrite Pro doc, , ,
 ,PACT,****,Unspecified Creator,Compact Pro archive,CPT, ,
 ,pdvr,****,Unspecified Creator,Printer driver, , ,
 ,PICS,****,Unspecified Creator,Animation PICS, , ,
 ,PICT,****,Unspecified Creator,Std Graphics format,PIC, ,
 ,PNTG,****,Unspecified Creator,Graphics MacPaint,MPT, ,
 ,pref,****,Unspecified Creator,Pref, , ,
 ,PRER,****,Unspecified Creator,Chooser Extension, , ,
 ,PRES,****,Unspecified Creator,Chooser Extension, , ,
 ,RDEV,****,Unspecified Creator,Chooser Device, , ,
 ,RIFF,****,Unspecified Creator,Graphics RIFF Image,RIF, ,
 ,rsrc,****,Unspecified Creator,Resource, , ,
 ,RTF ,****,Unspecified Creator,Rich Text Format,RTF, ,
 ,SCRN,****,Unspecified Creator,Graphics Startup Screen, , ,
 ,sdev,****,Unspecified Creator,Control Strip Module, , ,
 ,sfil,****,Unspecified Creator,Sound System 7, , ,
 ,SITD,****,Unspecified Creator,Stuffit Deluxe archive,SIT, ,
 ,STAK,****,Unspecified Creator,HyperCard stack, , ,
 ,STAT,****,Unspecified Creator,MacDraw II—Stationary, , ,
 ,SYLK,****,Unspecified Creator,SYLK file, , ,
 ,tbnd,****,Unspecified Creator,Communication Tool, , ,
 ,TEXT,****,Unspecified Creator,Text File,TXT, ,
 ,TIFF,****,Unspecified Creator,Graphics TIFF,TIF, ,
 ,ttro,****,Unspecified Creator,Text file (read only),TXT, ,
 ,WDBN,****,Unspecified Creator,Word Document,DOC, ,
