Name,Primary File,Secondary Files,Chapter,Genre,Comment
dBASE II,dbf,ndx mem,1,Database,
dBASE III & dBASE III+,dbf,ndx ntx mem dbt frm lbl dbprint.ptb ,2,Database ,
dBASE IV,dbf,dbt ,3,Database ,
FoxPro,dbf,dbt fpt idx cdx lbx,4,Database ,
System Data Format,sdf,,5,Database ,
LOTUS 1-2-3 WKS/WK1,wks wk1,,6,Spreadsheet,
LOTUS 1-2-3 WK3,wk3,frm,7,Spreadsheet,
LOTUS 1-2-3 PIC,pic,,8,Spreadsheet,
LOTUS Symphony,wks wk1,,9,Spreadsheet,
Data Interchange Format (DIF),dif,,10,Spreadsheet,
Super Data Interchange format (SDI),sdi,,11,Spreadsheet,
Standard Interface format (SIF),sif,,12,Spreadsheet,
Symbolic Link Format (SYLK),,,13,Spreadsheet,
SYLK format extension for CHART,,,14,Spreadsheet,
Excellent binary interchange format (BIFF),xls,,"15,A",Spreadsheet,
MS-Word format ,doc,,"16,16.4",Word Processing,
WordStar format,,wsstyle.ovr,17,Word Processing,
WordPerfect format,wpf,,18,Word Processing,
Rich Text format (RTF version 1.2),rtf,,19,Word Processing,
Standard Generalized Markup Language (SGML),,,20,Word Processing,
AMI Pro version 3.0/4.0 file format,sam,sty g##,21,Word Processing,g## files can contain (ole bmp wmf tex sdw tgf)
ZSOFT Paintbrush format (PCX),pcx,,"22,A",Graphics,
CAPTURE File Format (SCR),lst scr,,22.4,Graphics,
GEM Image format (IMG),img,,23,Graphics,
GEM Metafile format (GEM),gem,,24,Graphics,
Interchange File Format (IFF),lbm,,25,Graphics,
Graphics Interchange Format (GIF),gif,,26,Graphics,
Tag Image File Format (TIFF),tif,,27,Graphics,
Computer Graphic Metafile format (CGM),cgm,,28,Graphics,
WordPerfect Graphic format (WPG),wpg,,29,Graphics,
AutoCAD Drawing Exchange format (DXF),dxf dxb,,30,Graphics,
"Micrografx formats (PIC, DRW, GRF)",pic grf drw,,31,Graphics,
TARGA format (TGA),tga,,32,Graphics,
"Dr. Halo format (PIC, CUT, PAL)",cut pal pic,,33,Graphics,
SUN Raster format (RAS),ras,,34,Graphics,
Adobe Photoshop format (PSD),psd,,35,Graphics,
PCPAINT/Pictor format (PIC),pic,,36,Graphics,
JPEG/JFIF format (JPG),jpg,,37,Graphics,
MAC-Paint format (MAC),mac pnt,,38,Graphics,
MAC-Paint format (PICT),pct,,39,Graphics,
Atari NEOchrome format (NEO),neo,,40,Graphics,
